Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,334.0mV,66.00mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.125000mV,0.025000mV
Time interval        :,4000.00000uS,4000.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
355,36.000000,1.200000
356,30.000000,0.800000
357,32.000000,3.200000
358,30.000000,1.600000
359,36.000000,2.400000
360,40.000000,1.200000
361,26.000000,1.600000
362,42.000000,1.600000
363,46.000000,2.400000
364,38.000000,1.200000
365,34.000000,2.400000
366,32.000000,4.800000
367,28.000000,1.600000
368,40.000000,2.800000
369,40.000000,1.600000
370,52.000000,2.000000
371,36.000000,1.200000
372,46.000000,2.400000
373,34.000000,4.800000
374,52.000000,1.600000
375,40.000000,1.200000
376,34.000000,1.200000
377,46.000000,0.800000
378,40.000000,1.200000
379,52.000000,0.800000
380,50.000000,1.200000
381,48.000000,1.600000
382,68.000000,3.600000
383,46.000000,2.400000
384,52.000000,2.400000
385,50.000000,1.200000
386,46.000000,1.200000
387,58.000000,0.400000
388,38.000000,0.400000
389,68.000000,6.800000
390,44.000000,0.000000
391,40.000000,0.800000
392,62.000000,1.200000
393,52.000000,0.800000
394,68.000000,1.200000
395,50.000000,1.600000
396,56.000000,1.600000
397,64.000000,1.600000
398,44.000000,4.000000
399,64.000000,0.800000
400,48.000000,2.400000
401,48.000000,2.000000
402,68.000000,1.600000
403,48.000000,1.200000
404,66.000000,1.200000
405,56.000000,0.400000
406,48.000000,0.400000
407,70.000000,0.000000
408,62.000000,0.800000
409,66.000000,0.000000
410,56.000000,1.200000
411,54.000000,1.200000
412,78.000000,1.200000
413,58.000000,1.200000
414,74.000000,-4.800000
415,74.000000,0.400000
416,52.000000,1.600000
417,80.000000,0.800000
418,64.000000,0.800000
419,66.000000,1.200000
420,66.000000,1.200000
421,64.000000,-6.000000
422,80.000000,2.000000
423,62.000000,2.400000
424,82.000000,0.000000
425,68.000000,0.800000
426,68.000000,0.800000
427,78.000000,1.200000
428,78.000000,0.400000
429,76.000000,0.400000
430,72.000000,4.000000
431,66.000000,1.200000
432,76.000000,0.000000
433,66.000000,0.400000
434,80.000000,1.600000
435,76.000000,0.400000
436,66.000000,1.200000
